DayFrac  	Year JulianDay HourMin    Pressure[mbar]  10MVTair[degC]      10MRH[%]     6MVTair[degC]      6MRH[%]      2MVTair[degC]      2MRH[%]       10MTair[degC]    6MTair[degC]   2MTair[degC]  10MTCETair[degC] 6MTCETair[degC] 6MTCWTair[degC] 2MTCWTair[degC]   11mWdir[deg]     11mWspd[m/s]  11mLftWdir[deg] 11mLftWspd[m/s] 6mLftWdir[deg] 6mLftWspd[m/s] HumidityQC AirTempQC TCAirTempQC
 93.0132	2016	 93	 19	      993.86	     -34.144	      67.101	     -34.137	       70.75	      -34.49	      65.109	     -34.374	     -34.683	     -35.311	     -33.878	     -34.108	      -33.92	       -9999	      76.829	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0139	2016	 93	 19	      993.87	     -34.167	      67.552	     -34.089	      70.792	     -34.338	      64.797	     -34.422	     -34.652	     -35.125	     -33.871	     -33.927	     -33.782	       -9999	      70.943	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0146	2016	 93	 21	      993.86	     -34.154	      67.259	     -34.059	      70.813	     -34.283	      65.453	     -34.421	     -34.611	     -35.007	     -33.851	     -33.907	     -33.779	       -9999	      74.502	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0153	2016	 93	 22	      993.89	     -34.148	      67.003	      -33.99	      70.426	     -34.275	      66.166	     -34.416	     -34.551	     -34.998	     -33.792	     -33.799	       -33.7	       -9999	      70.989	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
  93.016	2016	 93	 22	      993.88	     -34.075	      66.365	     -33.916	      70.042	     -34.259	       65.87	     -34.362	     -34.464	     -35.038	     -33.675	     -33.699	     -33.614	       -9999	      57.926	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0167	2016	 93	 23	      993.89	     -34.018	      65.568	     -33.857	      70.019	     -34.177	      64.973	     -34.302	     -34.405	     -34.986	     -33.615	     -33.684	     -33.612	       -9999	      53.699	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0174	2016	 93	 25	      993.88	     -33.981	      65.553	      -33.81	      70.253	     -34.093	      64.802	      -34.25	      -34.34	     -34.886	     -33.622	      -33.64	      -33.57	       -9999	      48.035	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0181	2016	 93	 25	      993.87	     -33.935	      65.858	     -33.759	      70.547	     -34.026	      64.887	     -34.198	     -34.278	     -34.775	     -33.576	     -33.576	     -33.533	       -9999	      47.536	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0187	2016	 93	 26	      993.86	      -33.89	      65.968	     -33.697	      70.762	     -34.113	      65.731	      -34.14	     -34.218	     -34.769	      -33.46	     -33.504	     -33.424	       -9999	      53.179	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0194	2016	 93	 28	      993.86	     -33.805	      66.193	     -33.708	      70.969	     -34.403	      66.894	     -34.067	     -34.225	      -34.97	     -33.268	     -33.487	     -33.403	       -9999	      47.167	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0201	2016	 93	 29	      993.88	     -33.699	      66.155	     -33.681	      71.225	     -34.597	      67.083	     -33.986	     -34.231	     -35.174	     -33.038	     -33.467	     -33.432	       -9999	      37.664	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0208	2016	 93	 29	      993.89	     -33.616	      66.358	     -33.741	      70.811	     -34.624	       66.61	     -33.907	     -34.308	     -35.264	     -33.034	     -33.642	     -33.614	       -9999	      24.087	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0215	2016	 93	 30	      993.92	      -33.73	      66.836	     -33.889	      69.695	     -34.642	      66.491	     -33.975	     -34.403	     -35.281	     -33.476	     -33.859	      -33.82	       -9999	      18.851	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0222	2016	 93	 32	      993.92	     -33.905	      67.166	     -34.059	      69.698	     -34.674	      66.277	      -34.13	     -34.567	     -35.318	     -33.706	     -34.109	     -34.086	       -9999	      13.292	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0229	2016	 93	 32	      993.93	     -33.979	      67.041	     -34.174	      69.603	     -34.796	      66.715	     -34.246	     -34.691	     -35.411	     -33.708	     -34.148	     -34.102	       -9999	      10.149	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0236	2016	 93	 33	      993.92	     -33.991	      66.648	     -34.215	      69.907	     -34.926	      67.748	     -34.324	     -34.753	     -35.569	      -33.63	     -34.074	     -34.042	       -9999	      12.798	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0243	2016	 93	 35	      993.91	     -33.938	      66.387	      -34.19	      70.169	     -34.919	      67.165	     -34.291	     -34.759	     -35.676	     -33.518	     -33.999	     -33.972	       -9999	       16.27	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
  93.025	2016	 93	 36	       993.9	     -33.977	      66.723	      -34.17	      70.435	     -34.804	      66.063	     -34.299	     -34.761	     -35.574	     -33.689	     -34.072	     -34.036	       -9999	      16.481	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0257	2016	 93	 36	      993.87	     -34.046	      67.013	     -34.234	       70.49	     -34.769	      66.164	     -34.353	      -34.79	     -35.507	     -33.839	     -34.211	     -34.162	       -9999	      14.832	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
 93.0264	2016	 93	 37	      993.86	     -34.105	      67.041	     -34.327	      70.376	     -34.736	      66.193	     -34.419	      -34.85	     -35.443	     -33.899	     -34.334	     -34.278	       -9999	      14.154	         0.2	       -9999	       -9999	       -9999	       -9999	     000000	000	0001
