DayFrac Year JulianDay HourMin LWTotalDownwelling[W/m^2] SWTotalDownwelling[W/m^2] LWTotalUpwelling[W/m^2] SWTotalUpwelling[W/m^2] QualityControl
133.049	2009	133	111	              194.13	             118.036	             255.146	             89.7558	000000000000000
133.05	2009	133	112	             195.123	             116.953	             254.978	             88.6921	000000000000000
133.051	2009	133	113	             196.237	             116.868	             254.831	             88.2188	000000000000000
133.051	2009	133	114	              197.44	             117.792	             254.571	             88.7558	000000000000000
133.052	2009	133	115	             198.402	             118.684	             254.306	             88.9097	000000000000000
133.053	2009	133	116	             199.175	             119.809	             254.297	             89.4861	000000000000000
133.053	2009	133	117	              200.25	             121.093	             253.927	             90.2292	000000000000000
133.054	2009	133	118	             201.318	             122.325	             254.015	             90.7164	000000000000000
133.055	2009	133	119	             202.161	             123.418	             254.103	             91.3183	000000000000000
133.056	2009	133	120	             202.857	             124.363	             253.901	             91.8299	000000000000000
133.056	2009	133	121	             203.455	              124.31	             254.043	             91.8171	000000000000000
133.057	2009	133	122	             203.879	              122.76	             254.035	             90.7419	000000000000000
133.058	2009	133	123	             203.799	             119.777	             253.963	             88.7442	000000000000000
133.058	2009	133	124	             203.695	             116.953	             253.984	             86.8102	000000000000000
133.059	2009	133	125	              203.55	             115.849	             253.924	             85.7986	000000000000000
133.06	2009	133	126	             203.761	             115.934	             253.962	             85.7465	000000000000000
133.06	2009	133	127	             204.318	             116.465	             253.955	             86.3611	000000000000000
133.061	2009	133	128	             204.625	             116.433	              254.04	             86.4514	000000000000000
133.062	2009	133	129	             204.895	             115.945	             254.034	              86.272	000000000000000
133.063	2009	133	130	             205.351	             116.221	             253.973	             86.4387	000000000000000
133.063	2009	133	131	             206.039	             117.208	             254.055	             87.1042	000000000000000
133.064	2009	133	132	             206.726	             118.461	              253.99	             87.9236	000000000000000
133.065	2009	133	133	             207.595	             120.234	             254.201	             89.0891	000000000000000
133.065	2009	133	134	             208.776	             122.803	             254.426	             90.6771	000000000000000
133.066	2009	133	135	             210.196	             125.499	             254.652	             92.4838	000000000000000
133.067	2009	133	136	             211.694	             127.527	             255.021	             93.8403	000000000000000
133.067	2009	133	137	             213.073	             128.684	             255.096	             94.7627	000000000000000
133.068	2009	133	138	             214.393	             129.299	             255.056	             94.9039	000000000000000
133.069	2009	133	139	             215.397	             129.331	             255.101	             94.9039	000000000000000
133.069	2009	133	140	             215.848	             129.066	             255.339	             94.8646	000000000000000
133.07	2009	133	141	             216.164	             128.323	             255.576	             94.2118	000000000000000
133.071	2009	133	142	             216.529	             127.335	             255.657	             93.6354	000000000000000
133.072	2009	133	143	              217.47	             126.476	             255.883	             93.2384	000000000000000
133.072	2009	133	144	             218.971	             126.348	             255.869	             92.8032	000000000000000
133.073	2009	133	145	             220.655	             126.518	             256.154	             93.2894	000000000000000
133.074	2009	133	146	             222.176	             127.113	             256.295	             93.3657	000000000000000
133.074	2009	133	147	             223.345	             127.219	             256.454	             93.3657	000000000000000
133.075	2009	133	148	             223.882	             126.136	             256.543	             92.6748	000000000000000
133.076	2009	133	149	              224.42	             124.108	             256.476	             91.2396	000000000000000
133.076	2009	133	150	             225.002	             121.667	             256.629	             89.5752	000000000000000
133.077	2009	133	151	              226.03	             119.427	             256.723	             88.1782	000000000000000
133.078	2009	133	152	             227.556	             117.866	             257.027	             87.1794	000000000000000
